category,description,address,price,features,addtional_features,url_of_property
Condo / Apartment for rent,"A renovated, well maintained 3 1/2 apartment with 1 closed bedroom, open concept kitchen. A very peaceful neighborhood of Lasalle close to the river. Stove, fridge, washer, dryer are included. The exact dimensions of the rooms will be added.","728A, Avenue Carroll, Montréal (LaSalle)",$900 /month,Lifestyle 5 rooms 1 bedroom 1 bathroom,"1959,2023-06-01",https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/14432296?view=Summary
Condo / Apartment for rent,"3 1/2 bachelor for rent in NDG. Available for occupancy on July 1st, 2023. This unit is very well-located close to everything, such as: Concordia University, public transportation and many shops. Heating, hot water and electricity are at the expense of the tenant.","5274A, Avenue Connaught, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",$775 /month,Lifestyle 3 rooms 1 bedroom in basement 1 bathroom,2023-07-01,https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/15826674?view=Summary
Condo / Apartment for rent,"Beautiful one bedroom apartment open on livingroom, on 2nd floor, will be painted, floor sanded and varnished, interior doors replaced white and window cleaned. Well located near services, bus (112) bike path, park, etc...","766, Avenue Alepin, Montréal (LaSalle)",$900 /month,Lifestyle 4 rooms 1 bedroom 1 bathroom,2023-07-01,https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/24031402?view=Summary
Condo / Apartment for rent,"Beautiful apartment in the heart of downtown Montreal! Enjoy an open concept living space with beautiful finishes. Close to all services, universities and metro stations such as Georges-Vanier, Guy-concordia and Atwater, public transport, shopping centers and much more! Take advantage of an exceptional location in a very sought-after neighborhood in Montreal.","1250, Rue du Fort, apt. 414, Montréal (Ville-Marie), Neighbourhood Central West",$975 /month,Lifestyle 3 rooms 1 bedroom 1 bathroom,2023-01-17,https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/25711301?view=Summary
Loft / Studio for rent,"RESIDENCE FOR PEOPLE 55 AND OVER. Comfortable and safe Loft/Studio style apartment. Heating, electricity, cable, telephone, stove, fridge included in the rental price. Les Résidences du Confort are located along the Rivière-des-Prairies in Montreal North. Many services offered and varied and entertaining activities. You can enjoy your self-sufficient lifestyle or benefit from assistance in addition to being safe 24 hours a day. Eligible for the tax credit for home support. Several unit models available. VISIT by appointment only from Monday to Friday from 9 a.m. to 5 p.m. Contact me.","3311, boulevard Gouin Est, apt. A, Montréal (Montréal-Nord)",$976 /month,Lifestyle 1 room  1 bathroom,5 days PP/PR Accepted,https://www.centris.ca/en/lofts-studios~for-rent~montreal-montreal-nord/16644589?view=Summary
Condo / Apartment for rent,"One bedroom basement apartment with new floors and partly renovated bathroom with shared access to backyard. On a quiet residential street, close to buses and the metro. Schools & shopping centers, all within walking distance. June 1st or July 1st occupancy possible.","6877A, Rue Lemieux, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges",$850 /month,Lifestyle 4 rooms 1 bedroom in basement 1 bathroom,"540 sqft,1963,2023-06-01",https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/17531701?view=Summary
Condo / Apartment for rent,"Bel appartement spacieux & éclairé. Construction récente. Grande chambre à coucher fermée, cuisine, coin repas et salon à aire ouverte, entrée de laveuse/sécheuse dans la salle de bain. Près du Collège-Vanier, Cégep St. Laurent, Gare Montpellier, Métro, Bus 121 & 117, plusieurs épiceries, restaurants et autres commodités sur le Boul. Côte-Vertu. Libre 01 juillet 2023.","1158, Rue Raimbault, Montréal (Saint-Laurent), Neighbourhood Others",$900 /month,Lifestyle 3 rooms 1 bedroom in basement 1 bathroom,"2010,Animals not allowed, Smoking not allowed,2023-07-01",https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-laurent/21592528?view=Summary
Lot for rent,INDOOR PARKING FOR RENT. Only the residents of Roccabella are allowed to rent the parking.,"1310P, boulevard René-Lévesque Ouest, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",$250 /month,Lifestyle   ,"Residential,5 days PP/PR Accepted",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/24767069?view=Summary
Condo / Apartment for rent,,"4245, Rue de Bellechasse, Montréal (Rosemont/La Petite-Patrie), Neighbourhood New Rosemont",$925 /month,Lifestyle 4 rooms 1 bedroom 1 bathroom,"500 sqft,1950,Animals not allowed, Smoking not allowed,2023-07-01",https://www.centris.ca/en/condos-apartments~for-rent~montreal-rosemont-la-petite-patrie/12185372?view=Summary
Lot for rent,Indoor parking space No.33 in 1235 Rue Bishop.,"1235S, Rue Bishop, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",$200 /month,Lifestyle   ,"Residential,2023-08-20",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/24852296?view=Summary
